year,station,loc_mn,dc_mn,longitude,latitude,other_theft,arson,assault_gbh,attempted_murder,attempted_sexoff,bank_robbery,burglary_nonres,burglary_res,carjacking,commercial_crime,common_assault,common_robbery,contact_sexoff,dui,drug_crime,illegal_firearms,kidnapping,malicious_damage,murder,rape,robbery_nonres,robbery_res,cash_transit_robbery,aggr_robbery,sexual_assault,sexual_offences,police_detected_sexoff,shoplifting,stock_theft,vehicle_theft,theft_from_vehicle,truck_hijacking,contact_related_crime,crimes_against_property,contact_crime,other_serious_crimes,crimes_dependent_on_police_action_for_detention,total_crime,total_crime_excl_police,crimes_against_property_log,contact_crime_log,contact_related_crime_log,other_serious_crimes_log,crimes_dependent_on_police_action_for_detention_log,total_crime_log,total_crime_excl_police_log,treated_group,year_numeric,treatment_year,time_index,time_centered,time_centered_sq
2008/2009,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,491,3,570,25,3,0,104,226,25,161,443,132,1,213,113,34,1,236,24,58,34,42,1,293,7,119,0,218,0,143,272,0,239,745,1606,870,360,3581,3221,6.61472560020376,7.382124365737512,5.480638923341991,6.769641976852503,5.8888779583328805,8.183676582620658,8.07775756373692,0,2008,0,0,-4,16
2009/2010,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,452,5,625,9,3,0,86,180,35,154,473,127,2,264,283,22,1,252,14,55,27,57,1,276,13,115,0,185,0,124,300,0,257,690,1639,791,569,3689,3120,6.53813982376767,7.402451520818244,5.552959584921617,6.674561391814426,6.345636360828596,8.213381737034572,8.045908742270779,0,2009,0,1,-3,9
2010/2011,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,525,1,586,15,5,0,83,231,23,247,469,113,3,228,108,10,1,208,21,60,36,27,0,238,23,101,0,164,0,96,256,0,209,666,1543,936,346,3491,3145,6.502790045915623,7.342131730584722,5.3471075307174685,6.842683282238422,5.849324779946859,8.158229916959494,8.053887083618223,0,2010,0,2,-2,4
2011/2012,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,559,2,591,18,5,0,92,199,54,197,437,103,4,340,161,18,1,210,10,42,54,46,0,328,3,52,1,111,0,104,243,0,212,638,1539,867,520,3564,3044,6.459904454377535,7.3395376954076745,5.3612921657094255,6.7661917146603505,6.255750041753367,8.178919332848396,8.021256180143997,0,2011,0,3,-1,1
2012/2013,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,562,0,556,29,5,0,73,210,48,129,441,134,5,351,155,28,1,262,17,71,51,56,1,355,17,96,3,133,0,136,380,0,262,799,1628,824,537,3788,3251,6.684611727667927,7.395721608602045,5.572154032177765,6.715383386334681,6.2878585601617845,8.239857411018601,8.087025470667701,0,2012,1,4,0,0
2013/2014,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,459,3,532,33,4,1,109,221,33,124,338,111,6,335,356,45,2,248,18,47,50,51,0,423,8,59,0,82,0,149,394,0,251,873,1514,665,736,3788,3052,6.773080375655535,7.323170717943469,5.529429087511423,6.501289670540389,6.602587892189336,8.239857411018601,8.023879992734878,0,2013,1,5,1,1
2014/2015,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,459,0,598,18,1,0,69,209,43,93,329,120,7,275,270,24,3,220,23,60,33,63,0,386,11,73,1,100,0,117,408,1,220,803,1547,652,570,3572,3002,6.6895992691789665,7.344719054149673,5.3981627015177525,6.481577129276431,6.3473892096560105,8.181160858023409,8.00736706798333,0,2014,1,6,2,4
2015/2016,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,442,3,593,36,4,0,71,199,139,81,410,212,8,512,174,45,4,263,31,39,56,82,0,602,5,52,0,131,0,132,400,0,266,802,1936,654,731,4123,3392,6.688354713946762,7.5688956634069955,5.58724865840025,6.484635235635252,6.595780513961311,8.32457884513685,8.129469764784231,0,2015,1,7,3,9
2016/2017,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,381,1,496,29,1,0,84,155,89,87,365,206,5,245,186,41,5,251,18,33,69,69,0,577,13,50,1,130,0,103,549,1,252,891,1741,598,473,3703,3230,6.79346613258001,7.462789157412448,5.53338948872752,6.395261598115449,6.161207321695077,8.21716859576607,8.080546965824498,0,2016,1,8,4,16
2017/2018,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,376,0,498,23,0,0,62,159,64,77,267,220,6,352,124,31,6,236,27,37,54,62,0,499,14,51,0,127,0,70,431,0,236,722,1585,580,507,3394,2887,6.583409222158765,7.368970402194793,5.4680601411351315,6.364750756851911,6.230481447578482,8.130059039992796,7.968319500012717,0,2017,1,9,5,25
2018/2019,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,360,2,502,38,2,0,52,137,37,70,327,237,5,220,69,12,7,181,30,55,45,44,0,447,16,76,0,102,0,55,273,0,183,517,1657,532,301,3007,2706,6.249975242259483,7.4133673356952405,5.214935757608986,6.278521424165844,5.71042701737487,8.00903068506973,7.903596289614301,0,2018,1,10,6,36
2019/2020,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,316,0,477,31,4,0,72,142,39,62,342,240,7,149,45,17,8,189,20,42,51,40,1,393,16,63,2,102,0,50,250,1,189,514,1566,480,213,2773,2560,6.244166900663736,7.356918242356021,5.247024072160486,6.175867270105761,5.365976015021851,7.928045600874777,7.848153086199526,0,2019,1,11,7,49
2020/2021,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,243,0,410,38,3,0,88,97,52,73,308,201,7,41,37,10,9,145,22,45,40,40,0,333,10,59,0,71,0,28,208,0,145,421,1371,387,88,2267,2179,6.045005314036012,7.22402480828583,4.983606621708336,5.961005339623274,4.48863636973214,7.7266536648476425,7.687080155783135,0,2020,1,12,8,64
2021/2022,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,213,1,415,38,1,0,59,91,92,88,247,220,6,170,34,9,10,155,34,35,44,33,0,369,15,51,0,53,0,72,231,0,156,453,1374,354,213,2394,2181,6.118097198041348,7.226209010100671,5.056245805348308,5.872117789475416,5.365976015021851,7.781138509845015,7.687997166393016,0,2021,1,13,9,81
2022/2023,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,290,0,388,26,4,0,73,133,69,101,236,236,7,274,39,3,11,125,28,43,66,28,0,338,9,57,1,56,0,123,191,0,125,520,1309,447,317,2593,2276,6.255750041753367,7.177782416195197,4.836281906951478,6.104793232414985,5.762051382780177,7.860956364876389,7.7306140660637395,0,2022,1,14,10,100
2008/2009,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,46,2,48,3,2,0,15,41,0,1,20,6,6,12,2,3,1,21,2,17,1,1,0,6,1,20,0,0,17,0,2,0,23,75,105,47,17,244,227,4.330733340286331,4.663439094112067,3.1780538303479458,3.871201010907891,2.8903717578961645,5.501258210544727,5.429345628954441,0,2008,0,0,-4,16
2009/2010,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,18,3,46,4,5,0,13,50,3,2,18,8,7,4,7,3,1,23,3,14,3,0,0,8,0,20,0,0,9,0,2,0,26,74,107,20,14,215,201,4.31748811353631,4.68213122712422,3.295836866004329,3.044522437723423,2.70805020110221,5.375278407684165,5.308267697401205,0,2009,0,1,-3,9
2010/2011,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,25,3,37,0,3,0,8,38,0,0,17,7,6,2,13,0,1,10,3,13,5,1,0,9,0,16,0,0,37,1,5,0,13,89,89,25,15,218,203,4.499809670330265,4.499809670330265,2.6390573296152584,3.258096538021482,2.772588722239781,5.389071729816501,5.318119993844216,0,2010,0,2,-2,4
2011/2012,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,63,3,55,2,1,0,16,42,0,0,16,12,6,0,4,0,1,23,0,12,0,0,0,3,0,13,0,0,5,2,2,0,26,67,101,63,4,235,231,4.219507705176107,4.624972813284271,3.295836866004329,4.1588830833596715,1.6094379124341003,5.4638318050256105,5.44673737166631,0,2011,0,3,-1,1
2012/2013,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,30,1,42,3,0,0,17,23,0,1,10,6,7,1,7,2,1,12,3,18,8,0,0,8,0,19,0,0,20,1,2,0,13,63,91,31,10,195,185,4.1588830833596715,4.5217885770490405,2.6390573296152584,3.4657359027997265,2.3978952727983707,5.278114659230517,5.225746673713202,0,2012,1,4,0,0
2013/2014,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,41,4,43,0,4,0,17,31,0,2,16,3,6,0,6,0,12,17,1,19,7,2,0,9,0,23,0,0,12,2,6,0,21,68,95,43,6,212,206,4.23410650459726,4.564348191467836,3.091042453358316,3.784189633918261,1.9459101490553132,5.3612921657094255,5.332718793265369,0,2013,1,5,1,1
2014/2015,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,33,1,37,3,2,0,34,52,2,4,22,9,6,2,8,4,13,16,4,13,9,1,0,16,0,15,0,0,11,2,6,0,17,105,106,37,14,262,248,4.663439094112067,4.672828834461906,2.8903717578961645,3.6375861597263857,2.70805020110221,5.572154032177765,5.517452896464707,0,2014,1,6,2,4
2015/2016,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,25,2,52,1,1,0,34,36,1,6,32,11,6,1,2,1,13,18,1,19,4,2,0,10,1,21,0,0,5,3,8,0,20,86,128,31,4,249,245,4.465908118654584,4.859812404361672,3.044522437723423,3.4657359027997265,1.6094379124341003,5.521460917862246,5.5053315359323625,0,2015,1,7,3,9
2016/2017,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,33,2,40,3,1,0,39,58,0,3,26,8,6,4,43,0,13,20,1,12,5,3,0,9,1,14,0,0,9,8,9,0,22,123,101,36,47,307,260,4.820281565605037,4.624972813284271,3.1354942159291497,3.6109179126442243,3.871201010907891,5.730099782973574,5.564520407322694,0,2016,1,8,4,16
2017/2018,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,22,0,29,0,1,0,27,26,0,1,9,3,6,4,43,1,13,11,3,13,3,1,0,5,0,14,0,0,19,10,4,0,11,86,63,23,48,220,172,4.465908118654584,4.1588830833596715,2.4849066497880004,3.1780538303479458,3.8918202981106265,5.3981627015177525,5.153291594497779,0,2017,1,9,5,25
2018/2019,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,25,2,30,2,1,0,21,30,0,2,6,2,6,7,24,6,13,15,2,18,6,2,0,10,1,20,0,0,13,0,5,0,17,69,72,27,37,205,168,4.248495242049359,4.290459441148391,2.8903717578961645,3.332204510175204,3.6375861597263857,5.327876168789581,5.1298987149230735,0,2018,1,10,6,36
2019/2020,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,13,0,21,1,2,0,32,28,1,4,4,3,6,16,18,2,12,8,1,9,10,3,0,15,0,11,0,0,17,2,4,0,8,83,56,17,36,192,156,4.430816798843313,4.04305126783455,2.1972245773362196,2.8903717578961645,3.6109179126442243,5.262690188904886,5.056245805348308,0,2019,1,11,7,49
2020/2021,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,14,2,29,0,1,0,22,28,0,2,7,2,6,7,24,2,13,19,2,13,4,0,0,5,0,14,2,0,24,2,8,0,21,84,59,16,35,194,159,4.442651256490317,4.0943445622221,3.091042453358316,2.833213344056216,3.58351893845611,5.272999558563747,5.075173815233827,0,2020,1,12,8,64
2021/2022,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,12,0,32,0,3,0,15,31,1,1,14,4,6,5,32,2,12,10,4,14,3,4,0,8,1,18,5,0,10,1,1,0,10,58,80,13,44,195,151,4.07753744390572,4.394449154672439,2.3978952727983707,2.6390573296152584,3.8066624897703196,5.278114659230517,5.0238805208462765,0,2021,1,13,9,81
2022/2023,zaaiplaas,elias motsoaledi,sekhukhune,29.76174,-25.16257,28,0,26,2,1,0,13,33,2,5,11,3,6,5,55,0,14,14,1,11,3,2,0,7,1,13,34,0,9,0,7,0,14,62,63,33,94,252,158,4.143134726391533,4.1588830833596715,2.70805020110221,3.5263605246161616,4.553876891600541,5.53338948872752,5.0689042022202315,0,2022,1,14,10,100
2008/2009,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2008,0,0,-4,16
2009/2010,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2009,0,1,-3,9
2010/2011,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2010,0,2,-2,4
2011/2012,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,338,13,373,30,3,0,66,356,3,10,567,60,5,44,161,8,1,222,27,84,35,7,0,133,44,134,1,7,11,38,52,1,235,523,1324,355,214,2416,2202,6.261491684321042,7.1891677384203225,5.4638318050256105,5.87493073085203,5.3706380281276624,7.790282380703483,7.697575346802343,0,2011,0,3,-1,1
2012/2013,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,332,24,466,50,4,0,126,460,12,19,649,63,4,70,90,10,1,305,27,141,46,5,0,142,19,166,0,4,11,40,46,2,329,683,1563,355,170,2771,2601,6.52795791762255,7.355001921105257,5.799092654460526,5.87493073085203,5.14166355650266,7.927324360309794,7.86403565907245,0,2012,1,4,0,0
2013/2014,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,388,18,418,90,1,0,89,563,6,25,756,52,4,101,228,10,15,273,17,85,61,9,0,195,19,107,0,3,26,56,48,6,291,782,1635,416,339,3172,2833,6.663132695990803,7.400009517162692,5.676753802268282,6.0330862217988015,5.8289456176102075,8.062432791583195,7.949444420250626,0,2013,1,5,1,1
2014/2015,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,368,21,406,95,0,0,97,525,4,7,562,68,9,98,409,16,16,262,24,109,46,10,0,181,13,127,0,2,10,46,79,0,283,757,1463,377,523,3120,2597,6.630683385642372,7.288927694521257,5.648974238161206,5.934894195619588,6.261491684321042,8.045908742270779,7.862497197230545,0,2014,1,6,2,4
2015/2016,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,361,6,436,32,0,0,105,477,4,16,692,60,5,138,411,11,14,267,20,79,54,16,0,170,11,93,0,7,18,54,64,0,273,718,1503,384,560,3165,2605,6.577861357721047,7.315883504509785,5.6131281063880705,5.953243334287785,6.329720905522696,8.060224240440958,7.8655717576847906,0,2015,1,7,3,9
2016/2017,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,349,6,375,17,0,0,90,448,6,21,646,31,6,92,373,10,2,215,16,66,57,7,0,131,22,88,1,2,16,28,50,1,221,632,1304,372,476,2784,2308,6.450470422144176,7.173958319756794,5.402677381872279,5.921578419643816,6.1675164908883415,7.932003152361385,7.744569809354496,0,2016,1,8,4,16
2017/2018,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,274,2,390,11,0,0,76,567,8,16,618,31,5,82,455,7,2,206,28,58,43,16,1,160,17,78,0,4,26,22,43,2,208,734,1316,294,544,2888,2344,6.5998704992128365,7.183111701743281,5.342334251964811,5.68697535633982,6.300785794663244,7.968665700466235,7.76004068088038,0,2017,1,9,5,25
2018/2019,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,313,4,349,37,0,0,60,349,11,22,645,36,7,127,358,11,17,222,14,71,55,15,0,183,20,92,0,1,40,32,59,1,226,540,1356,336,496,2728,2232,6.293419278846481,7.213031659834869,5.424950017481403,5.820082930352362,6.208590026096629,7.911690520708339,7.711101251840158,0,2018,1,10,6,36
2019/2020,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,331,2,386,79,2,0,88,408,20,31,496,46,4,121,78,15,6,208,19,72,54,14,1,184,11,87,0,0,23,67,79,5,210,665,1297,362,214,2538,2324,6.501289670540389,7.168579897264035,5.351858133476067,5.8944028342648505,5.3706380281276624,7.839525581704678,7.751475318021456,0,2019,1,11,7,49
2020/2021,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,234,8,304,81,0,0,67,262,7,40,409,23,6,103,53,13,18,219,19,65,29,7,0,91,8,73,0,2,7,25,52,2,227,413,1000,276,169,1858,1689,6.025865973825314,6.90875477931522,5.429345628954441,5.6240175061873385,5.135798437050262,7.527793987721444,7.432483807917119,0,2020,1,12,8,64
2021/2022,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,329,9,359,129,5,0,63,323,14,24,430,29,6,136,55,9,19,271,21,78,24,21,0,133,16,99,0,3,18,26,52,6,280,482,1200,356,200,2238,2038,6.180016653652572,7.0909098220799835,5.638354669333745,5.877735781779639,5.303304908059076,7.713784616598755,7.620214770574455,0,2021,1,13,9,81
2022/2023,zamdela,metsimaholo,fezile dabi,27.85671,-26.84416,348,5,312,173,2,0,77,320,20,29,429,44,6,92,93,23,20,211,29,69,33,30,0,182,15,86,0,9,28,40,36,3,216,501,1255,386,208,2350,2142,6.218600119691729,7.135687347028144,5.37989735354046,5.958424693029782,5.342334251964811,7.762596048540069,7.669961995473577,0,2022,1,14,10,100
2008/2009,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,0,1,24,1,0,0,4,10,0,0,7,1,4,0,12,13,1,2,2,8,0,0,0,0,0,10,0,0,3,0,1,0,3,18,45,0,25,88,63,2.9444389791664403,3.828641396489095,1.3862943611198906,0.0,3.258096538021482,4.48863636973214,4.1588830833596715,0,2008,0,0,-4,16
2009/2010,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,16,2,20,0,1,0,1,13,0,0,5,1,6,0,5,4,1,0,2,3,0,0,0,1,1,5,0,0,7,0,0,0,2,21,34,16,9,80,71,3.091042453358316,3.5553480614894135,1.0986122886681098,2.833213344056216,2.302585092994046,4.394449154672439,4.276666119016055,0,2009,0,1,-3,9
2010/2011,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,3,1,20,1,2,0,0,8,0,0,4,1,6,0,6,2,1,1,1,3,0,0,0,0,2,7,0,0,4,0,0,0,2,12,34,3,8,57,49,2.5649493574615367,3.5553480614894135,1.0986122886681098,1.3862943611198906,2.1972245773362196,4.060443010546419,3.912023005428146,0,2010,0,2,-2,4
2011/2012,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,1,2,14,0,3,0,0,6,0,0,5,1,6,0,3,1,1,2,0,2,0,0,0,0,0,5,0,0,3,0,0,0,4,9,25,1,4,39,35,2.302585092994046,3.258096538021482,1.6094379124341003,0.6931471805599453,1.6094379124341003,3.6888794541139363,3.58351893845611,0,2011,0,3,-1,1
2012/2013,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,7,0,24,1,1,0,1,8,0,0,6,0,6,0,1,2,1,2,2,9,0,0,0,0,0,10,0,0,1,0,0,0,2,10,43,7,3,63,60,2.3978952727983707,3.784189633918261,1.0986122886681098,2.0794415416798357,1.3862943611198906,4.1588830833596715,4.110873864173311,0,2012,1,4,0,0
2013/2014,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,1,0,21,1,0,0,4,14,0,0,0,0,6,0,4,1,13,3,6,5,0,2,0,2,1,6,0,0,0,0,0,0,3,18,36,1,5,60,55,2.9444389791664403,3.6109179126442243,1.3862943611198906,0.6931471805599453,1.791759469228055,4.110873864173311,4.02535169073515,0,2013,1,5,1,1
2014/2015,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,2,0,12,2,1,0,1,6,0,0,6,1,6,0,4,1,13,6,3,6,0,0,0,0,1,8,0,0,1,0,1,0,6,9,32,2,5,48,43,2.302585092994046,3.4965075614664802,1.9459101490553132,1.0986122886681098,1.791759469228055,3.8918202981106265,3.784189633918261,0,2014,1,6,2,4
2015/2016,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,2,1,20,1,2,0,2,12,0,0,1,1,6,0,3,0,12,2,2,5,1,2,0,3,0,7,0,0,2,0,0,0,3,16,35,2,3,56,53,2.833213344056216,3.58351893845611,1.3862943611198906,1.0986122886681098,1.3862943611198906,4.04305126783455,3.9889840465642745,0,2015,1,7,3,9
2016/2017,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,3,1,11,0,1,0,0,9,0,0,0,0,7,0,7,1,13,2,2,4,0,0,0,0,0,6,0,0,1,0,0,0,3,10,19,3,8,40,32,2.3978952727983707,2.995732273553991,1.3862943611198906,1.3862943611198906,2.1972245773362196,3.713572066704308,3.4965075614664802,0,2016,1,8,4,16
2017/2018,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,2,0,15,0,0,0,4,6,0,0,3,0,6,0,5,3,13,2,4,6,1,0,0,1,0,6,0,0,0,0,1,0,2,11,29,2,8,50,42,2.4849066497880004,3.4011973816621555,1.0986122886681098,1.0986122886681098,2.1972245773362196,3.9318256327243257,3.7612001156935624,0,2017,1,9,5,25
2018/2019,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,3,3,18,2,0,0,1,3,0,0,2,1,6,0,4,2,13,2,2,5,0,0,0,0,1,6,0,0,2,0,0,0,5,6,31,3,6,46,40,1.9459101490553132,3.4657359027997265,1.791759469228055,1.3862943611198906,1.9459101490553132,3.8501476017100584,3.713572066704308,0,2018,1,10,6,36
2019/2020,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,4,1,6,1,0,0,0,3,0,1,0,0,6,0,6,3,13,1,4,6,0,1,0,1,2,8,0,0,3,0,0,0,2,6,20,5,9,40,31,1.9459101490553132,3.044522437723423,1.0986122886681098,1.791759469228055,2.302585092994046,3.713572066704308,3.4657359027997265,0,2019,1,11,7,49
2020/2021,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,2,3,10,0,0,0,5,2,0,0,1,2,6,0,0,1,13,3,2,4,1,0,0,2,1,5,0,0,6,0,0,0,6,13,22,2,1,38,37,2.6390573296152584,3.1354942159291497,1.9459101490553132,1.0986122886681098,0.6931471805599453,3.6635616461296463,3.6375861597263857,0,2020,1,12,8,64
2021/2022,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,2,1,13,0,2,0,2,2,0,1,0,0,6,0,0,0,12,4,8,4,0,0,0,0,2,8,0,0,2,0,0,0,5,6,29,3,0,38,38,1.9459101490553132,3.4011973816621555,1.791759469228055,1.3862943611198906,0.0,3.6635616461296463,3.6635616461296463,0,2021,1,13,9,81
2022/2023,zamuxolo,elundini,joe gqabi,28.26695,-30.59053,2,1,14,0,0,0,3,1,0,2,2,1,6,0,0,0,12,0,2,2,1,2,0,3,2,4,0,0,2,0,0,0,1,6,26,4,0,36,36,1.9459101490553132,3.295836866004329,0.6931471805599453,1.6094379124341003,0.0,3.6109179126442243,3.6109179126442243,0,2022,1,14,10,100
2008/2009,zastron,mohokare,xhariep,27.08167,-30.30455,79,1,142,6,6,0,40,94,0,13,93,10,5,0,26,0,1,50,4,37,1,0,0,3,6,52,0,13,130,0,4,0,51,268,310,105,26,709,683,5.594711379601839,5.739792912179234,3.9512437185814275,4.663439094112067,3.295836866004329,6.565264970035361,6.52795791762255,0,2008,0,0,-4,16
2009/2010,zastron,mohokare,xhariep,27.08167,-30.30455,93,1,152,3,6,0,53,140,0,8,66,8,4,4,49,1,1,52,2,22,1,3,0,9,4,34,0,11,119,4,21,0,53,337,274,112,54,777,723,5.823045895483019,5.616771097666572,3.9889840465642745,4.727387818712341,4.007333185232471,6.656726524178391,6.584791392385716,0,2009,0,1,-3,9
2010/2011,zastron,mohokare,xhariep,27.08167,-30.30455,81,8,163,4,6,0,50,88,0,7,58,4,7,5,38,3,1,71,9,29,8,5,0,14,2,38,0,15,127,5,33,0,79,303,290,103,46,742,696,5.717027701406222,5.673323267171493,4.382026634673881,4.6443908991413725,3.8501476017100584,6.610696044717759,6.546785410760524,0,2010,0,2,-2,4
2011/2012,zastron,mohokare,xhariep,27.08167,-30.30455,74,2,153,4,7,0,67,116,1,16,71,4,4,10,19,1,1,64,6,30,10,3,0,17,3,42,0,8,99,5,34,0,66,321,297,98,30,746,716,5.7745515455444085,5.697093486505405,4.204692619390966,4.59511985013459,3.4339872044851463,6.616065185132817,6.57507584059962,0,2011,0,3,-1,1
2012/2013,zastron,mohokare,xhariep,27.08167,-30.30455,95,5,152,11,0,0,43,162,0,23,89,18,7,8,41,4,1,63,6,21,5,3,0,13,4,26,0,13,66,4,25,0,68,300,315,131,53,799,746,5.707110264748875,5.755742213586912,4.23410650459726,4.882801922586371,3.9889840465642745,6.684611727667927,6.616065185132817,0,2012,1,4,0,0
2013/2014,zastron,mohokare,xhariep,27.08167,-30.30455,83,2,120,8,1,0,59,152,0,19,66,13,6,3,74,1,21,54,4,24,3,4,0,11,1,26,1,20,101,5,39,0,56,356,248,122,79,805,726,5.877735781779639,5.517452896464707,4.04305126783455,4.812184355372417,4.382026634673881,6.692083742506628,6.588926477533519,0,2013,1,5,1,1
2014/2015,zastron,mohokare,xhariep,27.08167,-30.30455,66,1,111,9,6,0,54,131,0,15,65,11,7,8,99,5,12,32,3,34,2,0,0,4,0,41,0,8,49,3,8,0,33,245,244,89,112,690,578,5.5053315359323625,5.501258210544727,3.5263605246161616,4.499809670330265,4.727387818712341,6.53813982376767,6.361302477572996,0,2014,1,6,2,4
2015/2016,zastron,mohokare,xhariep,27.08167,-30.30455,65,1,84,2,3,0,17,82,0,22,38,8,7,14,138,1,21,34,2,20,1,2,0,5,1,25,0,9,54,1,12,0,35,166,164,96,153,579,426,5.117993812416755,5.10594547390058,3.58351893845611,4.574710978503383,5.0369526024136295,6.363028103540465,6.056784013228625,0,2015,1,7,3,9
2016/2017,zastron,mohokare,xhariep,27.08167,-30.30455,67,1,64,3,1,0,28,101,2,17,19,8,6,19,177,3,13,26,5,28,2,0,0,5,0,29,0,8,66,1,4,0,27,200,133,92,199,624,425,5.303304908059076,4.897839799950911,3.332204510175204,4.532599493153256,5.298317366548036,6.437751649736401,6.054439346269371,0,2016,1,8,4,16
2017/2018,zastron,mohokare,xhariep,27.08167,-30.30455,59,1,45,1,0,0,18,62,0,14,31,3,4,11,232,2,13,22,6,13,1,0,0,4,0,15,0,12,52,4,8,0,23,144,105,85,245,579,334,4.976733742420574,4.663439094112067,3.1780538303479458,4.454347296253507,5.5053315359323625,6.363028103540465,5.814130531825066,0,2017,1,9,5,25
2018/2019,zastron,mohokare,xhariep,27.08167,-30.30455,45,0,50,3,2,0,35,70,1,25,15,11,6,9,166,0,12,8,7,10,2,0,0,5,0,12,0,8,47,4,9,0,8,165,103,78,175,521,346,5.111987788356544,4.6443908991413725,2.1972245773362196,4.3694478524670215,5.170483995038151,6.257667587882639,5.849324779946859,0,2018,1,10,6,36
2019/2020,zastron,mohokare,xhariep,27.08167,-30.30455,39,2,43,2,2,0,27,45,0,8,19,8,6,16,58,1,12,21,6,16,2,0,0,8,0,18,0,9,78,3,14,0,23,167,104,56,75,402,327,5.123963979403259,4.653960350157523,3.1780538303479458,4.04305126783455,4.330733340286331,5.998936561946683,5.793013608384144,0,2019,1,11,7,49
2020/2021,zastron,mohokare,xhariep,27.08167,-30.30455,29,2,51,4,1,0,49,39,0,16,20,2,6,7,62,2,12,18,11,8,3,5,0,19,1,10,0,7,64,3,3,0,20,158,117,52,71,398,327,5.0689042022202315,4.770684624465665,3.044522437723423,3.970291913552122,4.276666119016055,5.988961416889864,5.793013608384144,0,2020,1,12,8,64
