year,station,loc_mn,dc_mn,longitude,latitude,other_theft,arson,assault_gbh,attempted_murder,attempted_sexoff,bank_robbery,burglary_nonres,burglary_res,carjacking,commercial_crime,common_assault,common_robbery,contact_sexoff,dui,drug_crime,illegal_firearms,kidnapping,malicious_damage,murder,rape,robbery_nonres,robbery_res,cash_transit_robbery,aggr_robbery,sexual_assault,sexual_offences,police_detected_sexoff,shoplifting,stock_theft,vehicle_theft,theft_from_vehicle,truck_hijacking,contact_related_crime,crimes_against_property,contact_crime,other_serious_crimes,crimes_dependent_on_police_action_for_detention,total_crime,total_crime_excl_police,crimes_against_property_log,contact_crime_log,contact_related_crime_log,other_serious_crimes_log,crimes_dependent_on_police_action_for_detention_log,total_crime_log,total_crime_excl_police_log,treated_group,year_numeric,treatment_year,time_index
2021/2022,boitekong,rustenburg,bojanala,27.29704,-25.60465,392,10,630,56,4,0,92,345,32,71,363,50,6,44,104,25,4,234,68,134,53,43,0,292,8,146,14,32,23,115,66,5,244,641,1605,495,187,2928,2741,6.464588303689961,7.381501894506707,5.501258210544727,6.206575926724928,5.236441962829949,7.982416346827733,7.91644286012226,1,2021,0,13
2022/2023,boitekong,rustenburg,bojanala,27.29704,-25.60465,449,9,709,61,15,0,67,338,37,88,477,79,10,48,120,51,30,260,84,136,34,51,1,349,5,162,33,40,22,124,74,9,269,625,1921,577,252,3375,3123,6.439350371100098,7.561121589530238,5.598421958998375,6.359573868672378,5.53338948872752,8.124446855715847,8.046869510959576,1,2022,0,14
2008/2009,boons,rustenburg,bojanala,27.23671,-25.96687,77,0,24,2,3,0,20,31,7,4,6,3,6,0,14,1,1,15,2,5,2,1,0,15,0,8,0,0,24,7,6,4,15,88,60,81,15,244,229,4.48863636973214,4.110873864173311,2.772588722239781,4.406719247264253,2.772588722239781,5.501258210544727,5.438079308923196,1,2008,0,0
2009/2010,boons,rustenburg,bojanala,27.23671,-25.96687,76,0,41,4,1,0,10,38,5,3,7,2,4,0,8,1,1,14,1,7,0,2,0,18,0,10,0,0,40,9,5,8,14,102,83,79,9,273,264,4.634728988229636,4.430816798843313,2.70805020110221,4.382026634673881,2.302585092994046,5.613128106388071,5.579729825986222,1,2009,0,1
2010/2011,boons,rustenburg,bojanala,27.23671,-25.96687,69,1,23,0,0,0,7,34,0,2,11,2,7,3,14,0,1,15,2,6,0,1,0,3,1,8,0,0,22,15,1,2,16,79,49,71,17,216,199,4.382026634673881,3.912023005428146,2.833213344056216,4.276666119016055,2.8903717578961645,5.37989735354046,5.298317366548036,1,2010,0,2
2011/2012,boons,rustenburg,bojanala,27.23671,-25.96687,38,1,28,0,0,0,3,16,0,1,7,0,6,1,22,0,1,9,0,2,0,1,0,4,1,3,0,1,15,4,6,2,10,44,42,40,23,149,126,3.80666248977032,3.7612001156935615,2.3978952727983707,3.713572066704308,3.1780538303479458,5.010635294096256,4.844187086458591,1,2011,0,3
2012/2013,boons,rustenburg,bojanala,27.23671,-25.96687,24,1,26,1,0,0,6,7,2,3,11,3,6,2,19,0,1,9,1,2,0,0,0,3,0,2,0,0,11,3,1,1,10,28,47,27,21,123,102,3.367295829986474,3.871201010907891,2.3978952727983707,3.332204510175204,3.091042453358316,4.820281565605037,4.634728988229636,1,2012,1,4
2013/2014,boons,rustenburg,bojanala,27.23671,-25.96687,15,0,23,2,1,0,2,14,0,2,6,0,6,0,15,1,12,6,1,2,0,0,0,4,3,6,0,0,9,0,1,3,6,26,42,17,16,101,85,3.295836866004329,3.7612001156935615,1.9459101490553128,2.8903717578961645,2.833213344056216,4.624972813284271,4.454347296253507,1,2013,1,5
2014/2015,boons,rustenburg,bojanala,27.23671,-25.96687,35,0,39,1,0,0,2,12,3,1,10,0,6,1,19,0,12,9,1,13,1,0,0,8,3,16,0,0,12,0,0,2,9,26,75,36,20,157,137,3.295836866004329,4.330733340286331,2.302585092994046,3.610917912644224,3.044522437723423,5.062595033026967,4.927253685157205,1,2014,1,6
2015/2016,boons,rustenburg,bojanala,27.23671,-25.96687,32,0,32,1,0,0,3,21,1,0,12,1,6,0,9,0,13,13,3,3,1,0,0,2,1,4,0,0,18,3,2,0,13,47,55,32,9,143,134,3.871201010907891,4.02535169073515,2.6390573296152584,3.49650756146648,2.302585092994046,4.969813299576001,4.90527477843843,1,2015,1,7
2016/2017,boons,rustenburg,bojanala,27.23671,-25.96687,38,0,17,0,1,0,3,31,3,1,6,0,6,5,15,0,13,17,1,2,1,3,0,10,1,4,0,0,29,4,6,1,17,73,38,39,20,170,150,4.30406509320417,3.6635616461296463,2.8903717578961645,3.688879454113936,3.044522437723423,5.14166355650266,5.017279836814924,1,2016,0,8
2017/2018,boons,rustenburg,bojanala,27.23671,-25.96687,33,0,26,1,0,0,6,32,1,4,9,4,6,2,32,0,13,16,2,3,7,0,0,11,0,3,0,0,39,2,2,0,16,81,56,37,34,208,174,4.406719247264253,4.04305126783455,2.833213344056216,3.6375861597263857,3.555348061489413,5.342334251964811,5.1647859739235145,1,2017,0,9
2018/2019,boons,rustenburg,bojanala,27.23671,-25.96687,21,0,26,1,1,0,5,19,7,3,8,1,6,1,13,1,23,12,0,4,6,4,0,26,1,6,0,0,26,2,3,5,12,55,68,24,15,162,147,4.02535169073515,4.23410650459726,2.5649493574615367,3.218875824868201,2.772588722239781,5.093750200806762,4.997212273764115,1,2018,0,10
2019/2020,boons,rustenburg,bojanala,27.23671,-25.96687,26,0,14,1,2,0,5,16,2,3,6,1,6,2,3,1,21,7,1,1,1,1,0,6,1,4,0,0,27,2,3,0,7,53,33,29,6,121,115,3.9889840465642745,3.5263605246161616,2.079441541679836,3.4011973816621555,1.9459101490553128,4.804021044733257,4.7535901911063645,1,2019,0,11
2020/2021,boons,rustenburg,bojanala,27.23671,-25.96687,34,0,10,1,0,0,10,23,0,3,11,1,6,0,9,0,12,3,0,6,1,3,0,4,0,6,0,0,16,2,3,0,3,54,33,37,9,133,124,4.007333185232471,3.5263605246161616,1.3862943611198906,3.6375861597263857,2.302585092994046,4.897839799950911,4.8283137373023015,1,2020,0,12
2021/2022,boons,rustenburg,bojanala,27.23671,-25.96687,44,1,16,1,1,0,6,27,0,1,8,2,6,1,7,2,13,11,1,5,0,0,0,6,0,6,0,0,29,5,1,1,12,68,40,45,10,163,153,4.23410650459726,3.713572066704308,2.5649493574615367,3.828641396489095,2.3978952727983707,5.099866427824199,5.0369526024136295,1,2021,0,13
2022/2023,boons,rustenburg,bojanala,27.23671,-25.96687,15,0,13,0,1,0,5,22,2,1,5,0,7,3,8,1,14,8,5,3,0,5,0,9,0,5,0,0,27,0,1,0,8,55,37,16,12,120,108,4.02535169073515,3.6375861597263857,2.19722457733622,2.833213344056216,2.5649493574615367,4.795790545596741,4.691347882229144,1,2022,0,14
